Account ID,Date,Company Name,Amount,Category,Description
00001,2025-07-01,Employer Ltd,1800.00,Income,Monthly salary
00001,2025-07-16,IKEA,-22.22,Other,Purchase
00001,2025-07-17,Netflix,-14.03,Bills,Monthly bill
00001,2025-07-19,Trainline,-7.67,Transport,Travel
00001,2025-07-25,Sainsbury's,-12.49,Groceries,Weekly shop
00001,2025-07-28,Wagamama,-8.88,Dining,Meal out
00001,2025-07-29,National Express,-9.42,Transport,Travel
00001,2025-08-01,Employer Ltd,1800.00,Income,Monthly salary
00001,2025-08-01,Aldi,-36.91,Groceries,Weekly shop
00001,2025-08-01,TfL,-13.17,Transport,Travel
00001,2025-08-05,Uber,-9.31,Transport,Travel
00001,2025-08-07,Spotify,-79.76,Bills,Monthly bill
00001,2025-08-07,Sainsbury's,-16.47,Groceries,Weekly shop
00001,2025-08-08,Morrisons,-34.19,Groceries,Weekly shop
00001,2025-08-09,Tesco,-21.78,Groceries,Weekly shop
00001,2025-08-11,Lidl,-14.31,Groceries,Weekly shop
00001,2025-08-11,Uber,-10.05,Transport,Travel
00001,2025-08-16,TfL,-23.85,Transport,Travel
00001,2025-08-16,McDonald's,-19.48,Dining,Meal out
00001,2025-08-19,McDonald's,-26.76,Dining,Meal out
00001,2025-08-20,Boots,-52.94,Other,Purchase
00001,2025-08-20,Wagamama,-22.31,Dining,Meal out
00001,2025-08-22,Lidl,-22.02,Groceries,Weekly shop
00001,2025-08-22,Amazon,-51.66,Other,Purchase
00001,2025-08-23,Spotify,-81.97,Bills,Monthly bill
00001,2025-08-23,Pizza Express,-29.03,Dining,Meal out
00001,2025-08-23,Nando's,-18.97,Dining,Meal out
00001,2025-08-26,British Gas,-28.58,Bills,Monthly bill
00001,2025-08-26,Costa Coffee,-25.31,Dining,Meal out
00001,2025-08-27,Vodafone,-18.92,Bills,Monthly bill
00001,2025-08-29,Shell Petrol,-19.39,Transport,Travel
00001,2025-09-01,Employer Ltd,1800.00,Income,Monthly salary
00001,2025-09-01,Uber,-15.70,Transport,Travel
00001,2025-09-03,Trainline,-11.11,Transport,Travel
00001,2025-09-04,Costa Coffee,-22.85,Dining,Meal out
00001,2025-09-08,National Express,-10.99,Transport,Travel
00001,2025-09-08,Netflix,-37.88,Bills,Monthly bill
00001,2025-09-12,Wagamama,-27.08,Dining,Meal out
00001,2025-09-14,ASOS,-26.65,Other,Purchase
00001,2025-09-17,National Express,-17.89,Transport,Travel
00001,2025-09-18,British Gas,-43.75,Bills,Monthly bill
00001,2025-09-18,British Gas,-18.44,Bills,Monthly bill
00001,2025-09-19,Sainsbury's,-31.51,Groceries,Weekly shop
00001,2025-09-19,IKEA,-58.52,Other,Purchase
00001,2025-09-21,Shell Petrol,-17.73,Transport,Travel
00001,2025-09-22,TfL,-4.54,Transport,Travel
00001,2025-09-29,Aldi,-35.94,Groceries,Weekly shop
00001,2025-10-01,Employer Ltd,1800.00,Income,Monthly salary
00001,2025-10-02,Uber,-12.59,Transport,Travel
00001,2025-10-05,Netflix,-67.21,Bills,Monthly bill
00001,2025-10-09,IKEA,-6.99,Other,Purchase
00001,2025-10-10,Sainsbury's,-25.93,Groceries,Weekly shop
00001,2025-10-11,Boots,-51.01,Other,Purchase
00001,2025-10-17,Sainsbury's,-30.97,Groceries,Weekly shop
00001,2025-10-17,Vodafone,-60.90,Bills,Monthly bill
00001,2025-10-21,TfL,-8.70,Transport,Travel
00001,2025-10-21,Tesco,-18.36,Groceries,Weekly shop
00001,2025-10-22,TfL,-7.91,Transport,Travel
00001,2025-10-23,Uber,-16.70,Transport,Travel
00001,2025-10-26,Morrisons,-39.36,Groceries,Weekly shop
00001,2025-10-28,Uber,-18.89,Transport,Travel
00001,2025-10-31,Uber,-9.19,Transport,Travel
00001,2025-10-31,Spotify,-40.25,Bills,Monthly bill
00001,2025-11-01,Employer Ltd,1800.00,Income,Monthly salary
00001,2025-11-01,Netflix,-62.32,Bills,Monthly bill
00001,2025-11-02,British Gas,-76.50,Bills,Monthly bill
00001,2025-11-02,ASOS,-16.34,Other,Purchase
00001,2025-11-03,TfL,-22.87,Transport,Travel
00001,2025-11-04,Morrisons,-17.78,Groceries,Weekly shop
00001,2025-11-04,Netflix,-27.11,Bills,Monthly bill
00001,2025-11-05,Pizza Express,-16.68,Dining,Meal out
00001,2025-11-05,Pizza Express,-17.46,Dining,Meal out
00001,2025-11-05,Vodafone,-67.62,Bills,Monthly bill
00001,2025-11-09,Nando's,-12.18,Dining,Meal out
00001,2025-11-13,Uber,-6.45,Transport,Travel
00001,2025-11-14,McDonald's,-16.89,Dining,Meal out
00001,2025-11-14,Costa Coffee,-6.20,Dining,Meal out
00001,2025-11-15,Shell Petrol,-23.22,Transport,Travel
00001,2025-11-17,National Express,-16.51,Transport,Travel
00001,2025-11-18,Costa Coffee,-10.12,Dining,Meal out
00001,2025-11-19,IKEA,-45.55,Other,Purchase
00001,2025-11-25,Trainline,-4.75,Transport,Travel
00001,2025-11-26,Pizza Express,-4.01,Dining,Meal out
00001,2025-11-27,Boots,-32.08,Other,Purchase
00001,2025-11-28,ASOS,-46.19,Other,Purchase
00001,2025-11-28,Aldi,-22.93,Groceries,Weekly shop
00001,2025-12-01,Employer Ltd,1800.00,Income,Monthly salary
00001,2025-12-01,Trainline,-19.70,Transport,Travel
00001,2025-12-05,Vodafone,-45.78,Bills,Monthly bill
00001,2025-12-05,Vodafone,-18.29,Bills,Monthly bill
00001,2025-12-05,National Express,-15.81,Transport,Travel
00001,2025-12-09,Wagamama,-20.93,Dining,Meal out
00001,2025-12-11,Tesco,-12.94,Groceries,Weekly shop
00001,2025-12-17,Amazon,-16.21,Other,Purchase
00001,2025-12-17,Morrisons,-40.32,Groceries,Weekly shop
00001,2025-12-19,IKEA,-56.69,Other,Purchase
00001,2025-12-20,Nando's,-23.50,Dining,Meal out
00001,2025-12-24,Netflix,-84.57,Bills,Monthly bill
00001,2025-12-27,Thames Water,-53.74,Bills,Monthly bill
00001,2025-12-29,Tesco,-14.59,Groceries,Weekly shop
00001,2026-01-01,Employer Ltd,1800.00,Income,Monthly salary
00001,2026-01-04,Lidl,-13.51,Groceries,Weekly shop
00001,2026-01-05,Morrisons,-24.50,Groceries,Weekly shop
00001,2026-01-05,Tesco,-37.91,Groceries,Weekly shop
00001,2026-01-06,Lidl,-14.57,Groceries,Weekly shop
00001,2026-01-06,Nando's,-23.18,Dining,Meal out
00001,2026-01-08,Shell Petrol,-11.06,Transport,Travel
00001,2026-01-18,Wagamama,-20.41,Dining,Meal out
00001,2026-01-21,IKEA,-51.85,Other,Purchase
00001,2026-01-24,Vodafone,-83.77,Bills,Monthly bill
00001,2026-01-25,Morrisons,-34.15,Groceries,Weekly shop
00001,2026-01-26,Shell Petrol,-10.38,Transport,Travel
00001,2026-01-26,National Express,-19.95,Transport,Travel
00001,2026-01-26,Pizza Express,-14.63,Dining,Meal out
00001,2026-01-26,Shell Petrol,-19.20,Transport,Travel
00001,2026-01-27,ASOS,-30.90,Other,Purchase
00001,2026-01-28,Thames Water,-69.99,Bills,Monthly bill
00001,2026-01-28,Costa Coffee,-28.27,Dining,Meal out
00001,2026-02-01,Employer Ltd,1800.00,Income,Monthly salary
00001,2026-02-02,IKEA,-23.54,Other,Purchase
00001,2026-02-03,Vodafone,-68.28,Bills,Monthly bill
00001,2026-02-05,Trainline,-5.12,Transport,Travel
00001,2026-02-08,Amazon,-43.29,Other,Purchase
00001,2026-02-09,Boots,-9.08,Other,Purchase
00001,2026-02-09,National Express,-14.28,Transport,Travel
00001,2026-02-10,Shell Petrol,-8.96,Transport,Travel
00001,2026-02-11,Wagamama,-25.70,Dining,Meal out
00001,2026-02-15,IKEA,-16.01,Other,Purchase
00001,2026-02-23,McDonald's,-29.91,Dining,Meal out
